Year,GPCC MAM Normalized,CRU MAM Normalized,GPCC OND Normalized,CRU OND Normalized,,,
1901,0.27,0.35,0.06,0.17,,,
1902,0.26,0.43,0.45,0.42,,,
1903,0.56,0.66,0.14,0.26,,CRU,Global normalized rainfall dataset
1904,0.51,0.61,0.22,0.26,,GPCC,Global normalized rainfall dataset
1905,0.32,0.37,0.43,0.43,,,
1906,0.73,0.76,0.09,0.20,,Two rainy seasons ,
1907,0.42,0.51,0.19,0.33,,Short rain,March-April-May (MAM)
1908,0.48,0.38,0.24,0.26,,Long rain ,October-November-December (OND)
1909,0.52,0.37,0.12,0.15,,,
1910,0.48,0.40,0.25,0.21,,,
1911,0.50,0.54,0.25,0.27,,,
1912,0.18,0.17,0.18,0.18,,,
1913,0.70,0.73,0.14,0.15,,,
1914,0.27,0.36,0.28,0.29,,,
1915,0.41,0.32,0.24,0.26,,,
1916,0.50,0.67,0.31,0.27,,,
1917,0.73,0.61,0.09,0.08,,,
1918,0.35,0.26,0.06,0.08,,,
1919,0.36,0.32,0.21,0.22,,,
1920,0.57,0.68,0.37,0.34,,,
1921,0.16,0.22,0.21,0.15,,,
1922,0.29,0.36,0.27,0.25,,,
1923,0.85,0.88,0.41,0.35,,,
1924,0.23,0.24,0.17,0.13,,,
1925,0.20,0.23,0.54,0.52,,,
1926,0.67,0.70,0.25,0.18,,,
1927,0.45,0.50,0.13,0.12,,,
1928,0.56,0.59,0.22,0.15,,,
1929,0.24,0.20,0.34,0.33,,,
1930,0.85,1.00,0.18,0.12,,,
1931,0.55,0.52,0.32,0.27,,,
1932,0.63,0.60,0.17,0.14,,,
1933,0.00,0.00,0.23,0.21,,,
1934,0.42,0.43,0.29,0.27,,,
1935,0.50,0.61,0.24,0.20,,,
1936,0.65,0.73,0.26,0.24,,,
1937,0.75,0.83,0.31,0.29,,,
1938,0.34,0.35,0.22,0.19,,,
1939,0.49,0.54,0.25,0.23,,,
1940,0.65,0.66,0.13,0.13,,,
1941,0.45,0.50,0.53,0.56,,,
1942,0.78,0.91,0.15,0.10,,,
1943,0.26,0.20,0.01,0.00,,,
1944,0.54,0.47,0.38,0.36,,,
1945,0.30,0.36,0.20,0.17,,,
1946,0.33,0.36,0.32,0.34,,,
1947,1.00,0.93,0.12,0.09,,,
1948,0.30,0.29,0.18,0.16,,,
1949,0.09,0.11,0.14,0.11,,,
1950,0.55,0.62,0.12,0.08,,,
1951,0.63,0.73,0.70,0.65,,,
1952,0.45,0.54,0.13,0.09,,,
1953,0.40,0.45,0.27,0.26,,,
1954,0.30,0.36,0.16,0.16,,,
1955,0.33,0.41,0.18,0.15,,,
1956,0.53,0.59,0.24,0.24,,,
1957,0.76,0.87,0.32,0.34,,,
1958,0.24,0.30,0.19,0.18,,,
1959,0.23,0.23,0.30,0.31,,,
1960,0.64,0.67,0.11,0.10,,,
1961,0.39,0.36,1.00,1.00,,,
1962,0.62,0.72,0.30,0.32,,,
1963,0.80,0.95,0.55,0.54,,,
1964,0.37,0.45,0.23,0.25,,,
1965,0.20,0.23,0.46,0.46,,,
1966,0.54,0.57,0.21,0.22,,,
1967,0.56,0.63,0.65,0.69,,,
1968,0.66,0.80,0.44,0.48,,,
1969,0.44,0.49,0.23,0.22,,,
1970,0.46,0.41,0.22,0.20,,,
1971,0.24,0.28,0.24,0.22,,,
1972,0.34,0.42,0.38,0.43,,,
1973,0.21,0.25,0.14,0.12,,,
1974,0.65,0.85,0.07,0.07,,,
1975,0.33,0.40,0.12,0.11,,,
1976,0.60,0.64,0.18,0.16,,,
1977,0.50,0.50,0.51,0.53,,,
1978,0.58,0.63,0.49,0.50,,,
1979,0.60,0.65,0.25,0.27,,,
1980,0.49,0.50,0.25,0.21,,,
1981,0.72,0.78,0.17,0.14,,,
1982,0.48,0.60,0.64,0.75,,,
1983,0.19,0.18,0.24,0.27,,,
1984,0.13,0.08,0.32,0.33,,,
1985,0.62,0.62,0.23,0.20,,,
1986,0.48,0.51,0.37,0.31,,,
1987,0.47,0.48,0.13,0.13,,,
1988,0.34,0.35,0.26,0.24,,,
1989,0.66,0.72,0.47,0.48,,,
1990,0.50,0.40,0.21,0.22,,,
1991,0.54,0.53,0.25,0.26,,,
1992,0.21,0.23,0.33,0.37,,,
1993,0.48,0.53,0.04,0.04,,,
1994,0.17,0.17,0.33,0.28,,,
1995,0.35,0.38,0.22,0.20,,,
1996,0.56,0.53,0.06,0.01,,,
1997,0.46,0.46,0.97,0.80,,,
1998,0.28,0.28,0.07,0.12,,,
1999,0.47,0.43,0.32,0.28,,,
2000,0.13,0.20,0.48,0.42,,,
2001,0.22,0.20,0.26,0.33,,,
2002,0.32,0.41,0.45,0.48,,,
2003,0.33,0.44,0.17,0.21,,,
2004,0.17,0.45,0.50,0.36,,,
2005,0.31,0.43,0.00,0.14,,,
2006,0.67,0.66,0.71,0.49,,,
2007,0.19,0.28,0.28,0.26,,,
2008,0.32,0.36,0.21,0.31,,,
2009,0.17,0.18,0.29,0.35,,,
2010,0.20,0.43,0.16,0.27,,,
