"Age, ybp",Age (calender),BSi MAR (mgSiO2/cm2y),,,"Age, cal ybp",Age (calender),BSi MAR (mgSiO2/cm2y)
(Years before 2002),,,,,(Years before 2002),,
155,1847,6.74,,,155,1847,3.46
169,1833,7.41,,,176,1826,3.48
183,1819,6.64,,,197,1805,3.37
197,1805,6.49,,,218,1784,3.32
210,1792,6.72,,,240,1763,3.16
224,1778,7.47,,,261,1741,3.20
238,1764,8.44,,,282,1720,3.48
252,1750,6.93,,,303,1699,3.78
266,1736,6.95,,,324,1678,5.02
280,1722,6.40,,,345,1657,4.50
294,1708,7.28,,,366,1636,4.05
307,1695,7.44,,,387,1615,3.41
321,1681,6.12,,,409,1594,3.55
335,1667,6.09,,,430,1572,4.33
349,1653,6.95,,,451,1551,4.19
363,1639,6.31,,,472,1530,2.98
377,1625,5.45,,,493,1509,4.14
390,1612,7.37,,,514,1488,4.33
404,1598,7.43,,,535,1467,5.03
418,1584,7.01,,,556,1446,3.91
432,1570,7.81,,,578,1425,4.00
446,1556,6.57,,,599,1403,4.38
460,1542,7.58,,,620,1382,3.96
474,1528,8.61,,,641,1361,5.00
487,1515,7.82,,,662,1340,3.79
501,1501,5.24,,,683,1319,2.27
515,1487,6.03,,,704,1298,3.10
529,1473,6.36,,,725,1277,2.63
543,1459,4.39,,,747,1256,2.88
557,1445,4.92,,,768,1234,2.76
571,1431,5.56,,,789,1213,3.79
584,1418,5.84,,,810,1192,4.09
598,1404,5.12,,,831,1171,4.12
612,1390,5.09,,,852,1150,4.65
626,1376,5.80,,,873,1129,4.33
640,1362,5.42,,,894,1108,4.03
654,1348,6.07,,,916,1087,3.97
668,1334,8.71,,,937,1065,4.13
681,1321,8.02,,,958,1044,5.30
695,1307,9.44,,,979,1023,4.15
709,1293,7.23,,,1000,1002,3.65
723,1279,7.96,,,1025,977,2.87
737,1265,6.40,,,1050,952,5.14
751,1251,6.51,,,1076,926,3.97
765,1237,5.42,,,1101,901,2.75
778,1224,4.99,,,1126,876,3.59
792,1210,4.81,,,1151,851,3.11
806,1196,4.65,,,1176,826,3.42
820,1182,5.36,,,1202,800,2.89
834,1168,5.62,,,1227,775,4.30
848,1154,6.63,,,1252,750,4.02
861,1141,8.04,,,1277,725,4.53
875,1127,5.21,,,1302,700,6.33
889,1113,4.54,,,1328,674,3.55
