Year AD,BSi (normalized),,Year AD,Charcoal (normalized),,,Year,TEX86,,,
1996,-1.26,,1981,-0.97,,,1996,0.752,,,
1986,-1.34,,1976,-0.45,,,1986,0.749,,,
1976,-1.37,,1966,-0.60,,,1976,0.733,,,
1966,-1.41,,1956,-0.78,,,1966,0.722,,,Tex 86
1956,-1.39,,1946,-0.58,,,1956,0.720,,,Bsi
1946,-1.45,,1936,-0.84,,,1946,0.710,,,Charcoal
1937,-1.35,,1926,-0.82,,,1936,0.707,,,
1927,-1.11,,1918,-0.69,,,1926,0.705,,,
1918,-0.89,,1908,-0.44,,,1918,0.709,,,"These are all proxies of rainfall variation (some record positive values for higher rainfall, some record negative values for higher rainfall)"
1908,-0.06,,1898,-0.25,,,1898,0.698,,,
1898,-0.93,,1889,-0.77,,,1879,0.678,,,
1889,-0.80,,1879,-0.88,,,1865,0.679,,,
1879,0.34,,1872,0.29,,,1852,0.687,,,
1872,1.00,,1865,1.20,,,1838,0.698,,,
1865,1.59,,1859,-0.13,,,1824,0.711,,,
1859,1.36,,1852,1.98,,,1809,0.700,,,
1852,-0.02,,1845,0.36,,,1794,0.704,,,
1845,-0.37,,1838,-0.47,,,1779,0.696,,,
1838,0.61,,1831,-0.05,,,1764,0.686,,,
1831,1.02,,1824,0.75,,,1748,0.694,,,
1824,-0.68,,1816,0.13,,,1733,0.700,,,
1816,1.01,,1809,-0.42,,,1700,0.691,,,
1809,1.56,,1802,1.85,,,1683,0.672,,,
1802,0.38,,1794,0.32,,,1666,0.701,,,
1794,1.21,,1787,0.05,,,1649,0.672,,,
1787,1.35,,1779,1.59,,,1631,0.688,,,
1779,1.06,,1772,0.67,,,1614,0.688,,,
1772,-0.52,,1764,-0.15,,,1596,0.668,,,
1764,0.58,,1756,1.02,,,1577,0.702,,,
1756,1.60,,1748,2.18,,,1559,0.683,,,
1748,1.47,,1741,1.39,,,1540,0.685,,,
1741,1.49,,1733,0.05,,,1521,0.697,,,
1733,1.05,,1724,-0.38,,,1501,0.678,,,
1724,0.13,,1716,-0.35,,,1481,0.680,,,
1716,1.28,,1708,2.01,,,1461,0.674,,,
1708,1.49,,1700,-0.26,,,1441,0.676,,,
1700,1.34,,1692,1.25,,,1420,0.670,,,
1692,1.28,,1683,-0.02,,,1400,0.700,,,
1683,1.95,,1675,0.56,,,1378,0.694,,,
1675,1.46,,1666,-0.43,,,1357,0.700,,,
1666,-0.35,,1658,-0.81,,,1335,0.715,,,
